Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
10/8/16,1410.00,828.00,0.57,1.00,1360.00,80.00,0.00,0.00,180.00
11/8/16,1373.00,615.00,0.42,1.00,1389.00,51.00,0.00,0.00,117.00
12/8/16,1431.00,1266.00,0.87,0.00,1346.00,94.00,0.00,0.00,214.00
13/8/16,1431.00,1328.00,0.91,0.00,1345.00,95.00,0.00,0.00,214.00
14/8/16,1391.00,750.00,0.51,0.00,1374.00,66.00,0.00,0.00,149.00
15/8/16,1386.00,649.00,0.44,0.00,1379.00,61.00,0.00,0.00,139.00
16/8/16,1407.00,917.00,0.63,0.00,1364.00,76.00,0.00,0.00,174.00
17/8/16,1368.00,454.00,0.31,0.00,1391.00,49.00,0.00,0.00,110.00
18/8/16,1374.00,266.00,0.18,0.00,1386.00,54.00,0.00,0.00,120.00
19/8/16,1372.00,453.00,0.31,0.00,1388.00,52.00,0.00,0.00,117.00
20/8/16,1405.00,1436.00,0.98,0.00,1366.00,74.00,0.00,0.00,170.00
21/8/16,1397.00,658.00,0.45,0.00,1371.00,69.00,0.00,0.00,158.00
22/8/16,1378.00,536.00,0.37,0.00,1386.00,54.00,0.00,0.00,125.00
23/8/16,1390.00,900.00,0.62,0.00,1377.00,63.00,0.00,0.00,145.00
24/8/16,1414.00,1388.00,0.95,0.00,1360.00,80.00,0.00,0.00,185.00
25/8/16,1433.00,1662.00,1.14,1.00,1346.00,94.00,0.00,0.00,216.00
26/8/16,1445.00,1106.00,0.76,0.00,1336.00,104.00,0.00,0.00,237.00
27/8/16,1433.00,1789.00,1.23,0.00,1349.00,91.00,0.00,0.00,213.00
28/8/16,1376.00,531.00,0.36,0.00,1386.00,54.00,0.00,0.00,123.00
29/8/16,1392.00,549.00,0.38,0.00,1373.00,67.00,0.00,0.00,151.00
30/8/16,1405.00,1163.00,0.80,0.00,1365.00,75.00,0.00,0.00,171.00
31/8/16,1376.00,493.00,0.34,0.00,1384.00,56.00,0.00,0.00,125.00
1/9/16,1426.00,1249.00,0.86,0.00,1348.00,92.00,0.00,0.00,208.00
2/9/16,1387.00,670.00,0.46,0.00,1378.00,62.00,0.00,0.00,141.00
3/9/16,1410.00,767.00,0.53,1.00,1362.00,78.00,0.00,0.00,179.00
4/9/16,1366.00,467.00,0.32,0.00,1394.00,46.00,0.00,0.00,105.00
5/9/16,1430.00,1348.00,0.92,0.00,1347.00,93.00,0.00,0.00,212.00
6/9/16,1405.00,872.00,0.60,0.00,1366.00,74.00,0.00,0.00,170.00
7/9/16,1401.00,964.00,0.66,0.00,1368.00,72.00,0.00,0.00,164.00
8/9/16,1407.00,576.00,0.39,0.00,1362.00,78.00,0.00,0.00,175.00
9/9/16,1468.00,1754.00,1.20,0.00,1319.00,121.00,0.00,0.00,275.00
10/9/16,1385.00,829.00,0.57,0.00,1380.00,60.00,0.00,0.00,136.00
11/9/16,1435.00,2340.00,1.60,0.00,1347.00,93.00,0.00,0.00,217.00
12/9/16,1396.00,986.00,0.68,0.00,1372.00,68.00,0.00,0.00,155.00
13/9/16,1433.00,1686.00,1.16,0.00,1346.00,94.00,0.00,0.00,216.00
14/9/16,1418.00,1307.00,0.90,0.00,1356.00,84.00,0.00,0.00,192.00
15/9/16,1411.00,846.00,0.58,0.00,1360.00,80.00,0.00,0.00,182.00
16/9/16,1430.00,1289.00,0.88,0.00,1347.00,93.00,0.00,0.00,212.00
